"year","state","month","number","date"
2003,"Rio","Setembro",112,2003-01-01
2004,"Rio","Setembro",47,2004-01-01
2005,"Rio","Setembro",37,2005-01-01
2006,"Rio","Setembro",50,2006-01-01
2007,"Rio","Setembro",50,2007-01-01
2008,"Rio","Setembro",17,2008-01-01
2009,"Rio","Setembro",29,2009-01-01
2010,"Rio","Setembro",50,2010-01-01
2011,"Rio","Setembro",22,2011-01-01
2012,"Rio","Setembro",41,2012-01-01
2013,"Rio","Setembro",7,2013-01-01
2014,"Rio","Setembro",30,2014-01-01
2015,"Rio","Setembro",36,2015-01-01
2016,"Rio","Setembro",44,2016-01-01
2017,"Rio","Setembro",48,2017-01-01
1998,"Rio","Outubro",55,1998-01-01
1999,"Rio","Outubro",40,1999-01-01
2000,"Rio","Outubro",28,2000-01-01
2001,"Rio","Outubro",34,2001-01-01
2002,"Rio","Outubro",140,2002-01-01
2003,"Rio","Outubro",276,2003-01-01
2004,"Rio","Outubro",89,2004-01-01
2005,"Rio","Outubro",168,2005-01-01
2006,"Rio","Outubro",85,2006-01-01
2007,"Rio","Outubro",88,2007-01-01
2008,"Rio","Outubro",53,2008-01-01
2009,"Rio","Outubro",84,2009-01-01
2010,"Rio","Outubro",111,2010-01-01
2011,"Rio","Outubro",76,2011-01-01
2012,"Rio","Outubro",74,2012-01-01
2013,"Rio","Outubro",71,2013-01-01
2014,"Rio","Outubro",75,2014-01-01
2015,"Rio","Outubro",129,2015-01-01
2016,"Rio","Outubro",129,2016-01-01
2017,"Rio","Outubro",85,2017-01-01
1998,"Rio","Novembro",41,1998-01-01
1999,"Rio","Novembro",62,1999-01-01
2000,"Rio","Novembro",9,2000-01-01
2001,"Rio","Novembro",41,2001-01-01
2002,"Rio","Novembro",178,2002-01-01
2003,"Rio","Novembro",366,2003-01-01
2004,"Rio","Novembro",164,2004-01-01
2005,"Rio","Novembro",249,2005-01-01
2006,"Rio","Novembro",148,2006-01-01
2007,"Rio","Novembro",130,2007-01-01
2008,"Rio","Novembro",82,2008-01-01
2009,"Rio","Novembro",172,2009-01-01
2010,"Rio","Novembro",212,2010-01-01
2011,"Rio","Novembro",144,2011-01-01
2012,"Rio","Novembro",69,2012-01-01
2013,"Rio","Novembro",77,2013-01-01
2014,"Rio","Novembro",124,2014-01-01
2015,"Rio","Novembro",105,2015-01-01
2016,"Rio","Novembro",93,2016-01-01
2017,"Rio","Novembro",89,2017-01-01
1998,"Rio","Dezembro",19,1998-01-01
1999,"Rio","Dezembro",29,1999-01-01
2000,"Rio","Dezembro",11,2000-01-01
2001,"Rio","Dezembro",20,2001-01-01
2002,"Rio","Dezembro",222,2002-01-01
2003,"Rio","Dezembro",278,2003-01-01
2004,"Rio","Dezembro",284,2004-01-01
2005,"Rio","Dezembro",149,2005-01-01
2006,"Rio","Dezembro",101,2006-01-01
2007,"Rio","Dezembro",80,2007-01-01
2008,"Rio","Dezembro",126,2008-01-01
2009,"Rio","Dezembro",221,2009-01-01
2010,"Rio","Dezembro",54,2010-01-01
2011,"Rio","Dezembro",125,2011-01-01
2012,"Rio","Dezembro",75,2012-01-01
2013,"Rio","Dezembro",46,2013-01-01
2014,"Rio","Dezembro",47,2014-01-01
2015,"Rio","Dezembro",74,2015-01-01
2016,"Rio","Dezembro",75,2016-01-01
1998,"Rio","Janeiro",0,1998-01-01
1999,"Rio","Janeiro",63,1999-01-01
2000,"Rio","Janeiro",126,2000-01-01
2001,"Rio","Janeiro",12,2001-01-01
2002,"Rio","Janeiro",265,2002-01-01
2003,"Rio","Janeiro",58,2003-01-01
2004,"Rio","Janeiro",70,2004-01-01
2005,"Rio","Janeiro",152,2005-01-01
2006,"Rio","Janeiro",46,2006-01-01
2007,"Rio","Janeiro",37,2007-01-01
2008,"Rio","Janeiro",42,2008-01-01
2009,"Rio","Janeiro",65,2009-01-01
2010,"Rio","Janeiro",22,2010-01-01
2011,"Rio","Janeiro",33,2011-01-01
2012,"Rio","Janeiro",61,2012-01-01
2013,"Rio","Janeiro",22,2013-01-01
2014,"Rio","Janeiro",53,2014-01-01
2015,"Rio","Janeiro",51,2015-01-01
2016,"Rio","Janeiro",68,2016-01-01
2017,"Rio","Janeiro",28,2017-01-01
1998,"Rio","Fevereiro",0,1998-01-01
1999,"Rio","Fevereiro",35,1999-01-01
2000,"Rio","Fevereiro",43,2000-01-01
2001,"Rio","Fevereiro",32,2001-01-01
2002,"Rio","Fevereiro",38,2002-01-01
2003,"Rio","Fevereiro",13,2003-01-01
2004,"Rio","Fevereiro",52,2004-01-01
2005,"Rio","Fevereiro",36,2005-01-01
2006,"Rio","Fevereiro",34,2006-01-01
2007,"Rio","Fevereiro",24,2007-01-01
2008,"Rio","Fevereiro",30,2008-01-01
2009,"Rio","Fevereiro",15,2009-01-01
2010,"Rio","Fevereiro",23,2010-01-01
2011,"Rio","Fevereiro",26,2011-01-01
2012,"Rio","Fevereiro",39,2012-01-01
2013,"Rio","Fevereiro",43,2013-01-01
2014,"Rio","Fevereiro",37,2014-01-01
2015,"Rio","Fevereiro",41,2015-01-01
2016,"Rio","Fevereiro",55,2016-01-01
2017,"Rio","Fevereiro",31,2017-01-01
1998,"Rio","Março",0,1998-01-01
1999,"Rio","Março",38,1999-01-01
2000,"Rio","Março",51,2000-01-01
2001,"Rio","Março",11,2001-01-01
2002,"Rio","Março",26,2002-01-01
2003,"Rio","Março",27,2003-01-01
2004,"Rio","Março",149,2004-01-01
2005,"Rio","Março",153,2005-01-01
2006,"Rio","Março",76,2006-01-01
2007,"Rio","Março",8,2007-01-01
2008,"Rio","Março",38,2008-01-01
2009,"Rio","Março",41,2009-01-01
2010,"Rio","Março",21,2010-01-01
2011,"Rio","Março",31,2011-01-01
2012,"Rio","Março",50,2012-01-01
2013,"Rio","Março",44,2013-01-01
2014,"Rio","Março",58,2014-01-01
2015,"Rio","Março",108,2015-01-01
2016,"Rio","Março",30,2016-01-01
2017,"Rio","Março",34,2017-01-01
1998,"Rio","Abril",0,1998-01-01
1999,"Rio","Abril",12,1999-01-01
2000,"Rio","Abril",1,2000-01-01
2001,"Rio","Abril",3,2001-01-01
2002,"Rio","Abril",6,2002-01-01
2003,"Rio","Abril",30,2003-01-01
2004,"Rio","Abril",98,2004-01-01
2005,"Rio","Abril",14,2005-01-01
2006,"Rio","Abril",59,2006-01-01
2007,"Rio","Abril",4,2007-01-01
2008,"Rio","Abril",110,2008-01-01
2009,"Rio","Abril",145,2009-01-01
2010,"Rio","Abril",72,2010-01-01
2011,"Rio","Abril",41,2011-01-01
2012,"Rio","Abril",41,2012-01-01
2013,"Rio","Abril",47,2013-01-01
2014,"Rio","Abril",60,2014-01-01
2015,"Rio","Abril",175,2015-01-01
2016,"Rio","Abril",32,2016-01-01
2017,"Rio","Abril",51,2017-01-01
1998,"Rio","Maio",0,1998-01-01
1999,"Rio","Maio",13,1999-01-01
2000,"Rio","Maio",4,2000-01-01
2001,"Rio","Maio",4,2001-01-01
2002,"Rio","Maio",7,2002-01-01
2003,"Rio","Maio",18,2003-01-01
2004,"Rio","Maio",4,2004-01-01
2005,"Rio","Maio",24,2005-01-01
2006,"Rio","Maio",24,2006-01-01
2007,"Rio","Maio",3,2007-01-01
2008,"Rio","Maio",20,2008-01-01
2009,"Rio","Maio",177,2009-01-01
2010,"Rio","Maio",9,2010-01-01
2011,"Rio","Maio",20,2011-01-01
2012,"Rio","Maio",112,2012-01-01
2013,"Rio","Maio",14,2013-01-01
2014,"Rio","Maio",63,2014-01-01
2015,"Rio","Maio",169,2015-01-01
2016,"Rio","Maio",37,2016-01-01
2017,"Rio","Maio",43,2017-01-01
1998,"Rio","Junho",0,1998-01-01
1999,"Rio","Junho",9,1999-01-01
2000,"Rio","Junho",0,2000-01-01
2001,"Rio","Junho",1,2001-01-01
2002,"Rio","Junho",4,2002-01-01
2003,"Rio","Junho",14,2003-01-01
2004,"Rio","Junho",52,2004-01-01
2005,"Rio","Junho",50,2005-01-01
2006,"Rio","Junho",7,2006-01-01
2007,"Rio","Junho",10,2007-01-01
2008,"Rio","Junho",16,2008-01-01
2009,"Rio","Junho",30,2009-01-01
2010,"Rio","Junho",4,2010-01-01
2011,"Rio","Junho",12,2011-01-01
2012,"Rio","Junho",86,2012-01-01
2013,"Rio","Junho",10,2013-01-01
2014,"Rio","Junho",62,2014-01-01
2015,"Rio","Junho",68,2015-01-01
2016,"Rio","Junho",261,2016-01-01
2017,"Rio","Junho",103,2017-01-01
1998,"Rio","Julho",0,1998-01-01
1999,"Rio","Julho",10,1999-01-01
2000,"Rio","Julho",6,2000-01-01
2001,"Rio","Julho",6,2001-01-01
2002,"Rio","Julho",93,2002-01-01
2003,"Rio","Julho",55,2003-01-01
2004,"Rio","Julho",156,2004-01-01
2005,"Rio","Julho",47,2005-01-01
2006,"Rio","Julho",45,2006-01-01
2007,"Rio","Julho",7,2007-01-01
2008,"Rio","Julho",25,2008-01-01
2009,"Rio","Julho",47,2009-01-01
2010,"Rio","Julho",34,2010-01-01
2011,"Rio","Julho",45,2011-01-01
2012,"Rio","Julho",134,2012-01-01
2013,"Rio","Julho",42,2013-01-01
2014,"Rio","Julho",209,2014-01-01
2015,"Rio","Julho",60,2015-01-01
2016,"Rio","Julho",865,2016-01-01
2017,"Rio","Julho",885,2017-01-01
1998,"Rio","Agosto",9,1998-01-01
1999,"Rio","Agosto",24,1999-01-01
2000,"Rio","Agosto",18,2000-01-01
2001,"Rio","Agosto",36,2001-01-01
2002,"Rio","Agosto",824,2002-01-01
2003,"Rio","Agosto",1.419,2003-01-01
2004,"Rio","Agosto",403,2004-01-01
2005,"Rio","Agosto",120,2005-01-01
2006,"Rio","Agosto",642,2006-01-01
2007,"Rio","Agosto",258,2007-01-01
2008,"Rio","Agosto",56,2008-01-01
2009,"Rio","Agosto",1.057,2009-01-01
2010,"Rio","Agosto",267,2010-01-01
2011,"Rio","Agosto",116,2011-01-01
2012,"Rio","Agosto",410,2012-01-01
2013,"Rio","Agosto",156,2013-01-01
2014,"Rio","Agosto",1.168,2014-01-01
2015,"Rio","Agosto",414,2015-01-01
2016,"Rio","Agosto",1.111,2016-01-01
2017,"Rio","Agosto",819,2017-01-01
1998,"Rio","Setembro",60,1998-01-01
1999,"Rio","Setembro",19,1999-01-01
2000,"Rio","Setembro",27,2000-01-01
2001,"Rio","Setembro",2,2001-01-01
2002,"Rio","Setembro",226,2002-01-01
2003,"Rio","Setembro",828,2003-01-01
2004,"Rio","Setembro",431,2004-01-01
2005,"Rio","Setembro",189,2005-01-01
2006,"Rio","Setembro",444,2006-01-01
2007,"Rio","Setembro",573,2007-01-01
2008,"Rio","Setembro",97,2008-01-01
2009,"Rio","Setembro",39,2009-01-01
2010,"Rio","Setembro",250,2010-01-01
2011,"Rio","Setembro",449,2011-01-01
2012,"Rio","Setembro",113,2012-01-01
2013,"Rio","Setembro",290,2013-01-01
2014,"Rio","Setembro",224,2014-01-01
2015,"Rio","Setembro",222,2015-01-01
2016,"Rio","Setembro",628,2016-01-01
2017,"Rio","Setembro",343,2017-01-01
1998,"Rio","Outubro",169,1998-01-01
1999,"Rio","Outubro",56,1999-01-01
2000,"Rio","Outubro",10,2000-01-01
2001,"Rio","Outubro",13,2001-01-01
2002,"Rio","Outubro",10,2002-01-01
2003,"Rio","Outubro",360,2003-01-01
2004,"Rio","Outubro",680,2004-01-01
2005,"Rio","Outubro",83,2005-01-01
2006,"Rio","Outubro",160,2006-01-01
2007,"Rio","Outubro",21,2007-01-01
2008,"Rio","Outubro",135,2008-01-01
2009,"Rio","Outubro",148,2009-01-01
2010,"Rio","Outubro",95,2010-01-01
2011,"Rio","Outubro",74,2011-01-01
2012,"Rio","Outubro",91,2012-01-01
2013,"Rio","Outubro",104,2013-01-01
2014,"Rio","Outubro",110,2014-01-01
2015,"Rio","Outubro",70,2015-01-01
2016,"Rio","Outubro",93,2016-01-01
2017,"Rio","Outubro",101,2017-01-01
1998,"Rio","Novembro",28,1998-01-01
1999,"Rio","Novembro",103,1999-01-01
2000,"Rio","Novembro",18,2000-01-01
2001,"Rio","Novembro",49,2001-01-01
2002,"Rio","Novembro",117,2002-01-01
2003,"Rio","Novembro",121,2003-01-01
2004,"Rio","Novembro",161,2004-01-01
2005,"Rio","Novembro",227,2005-01-01
2006,"Rio","Novembro",27,2006-01-01
2007,"Rio","Novembro",13,2007-01-01
2008,"Rio","Novembro",14,2008-01-01
2009,"Rio","Novembro",4,2009-01-01
2010,"Rio","Novembro",90,2010-01-01
2011,"Rio","Novembro",117,2011-01-01
2012,"Rio","Novembro",74,2012-01-01
2013,"Rio","Novembro",110,2013-01-01
2014,"Rio","Novembro",68,2014-01-01
2015,"Rio","Novembro",30,2015-01-01
2016,"Rio","Novembro",105,2016-01-01
2017,"Rio","Novembro",137,2017-01-01
1998,"Rio","Dezembro",605,1998-01-01
1999,"Rio","Dezembro",1.11,1999-01-01
2000,"Rio","Dezembro",80,2000-01-01
2001,"Rio","Dezembro",80,2001-01-01
2002,"Rio","Dezembro",45,2002-01-01
2003,"Rio","Dezembro",98,2003-01-01
2004,"Rio","Dezembro",99,2004-01-01
2005,"Rio","Dezembro",35,2005-01-01
2006,"Rio","Dezembro",15,2006-01-01
2007,"Rio","Dezembro",25,2007-01-01
2008,"Rio","Dezembro",32,2008-01-01
2009,"Rio","Dezembro",15,2009-01-01
2010,"Rio","Dezembro",103,2010-01-01
2011,"Rio","Dezembro",69,2011-01-01
2012,"Rio","Dezembro",38,2012-01-01
2013,"Rio","Dezembro",62,2013-01-01
2014,"Rio","Dezembro",31,2014-01-01
2015,"Rio","Dezembro",42,2015-01-01
2016,"Rio","Dezembro",79,2016-01-01
1998,"Rondonia","Janeiro",0,1998-01-01
1999,"Rondonia","Janeiro",1,1999-01-01
2000,"Rondonia","Janeiro",0,2000-01-01
2001,"Rondonia","Janeiro",0,2001-01-01
2002,"Rondonia","Janeiro",6,2002-01-01
2003,"Rondonia","Janeiro",62,2003-01-01
2004,"Rondonia","Janeiro",30,2004-01-01
2005,"Rondonia","Janeiro",99,2005-01-01
2006,"Rondonia","Janeiro",16,2006-01-01
2007,"Rondonia","Janeiro",33,2007-01-01
2008,"Rondonia","Janeiro",4,2008-01-01
2009,"Rondonia","Janeiro",17,2009-01-01
2010,"Rondonia","Janeiro",18,2010-01-01
2011,"Rondonia","Janeiro",1,2011-01-01
2012,"Rondonia","Janeiro",2,2012-01-01
2013,"Rondonia","Janeiro",7,2013-01-01
2014,"Rondonia","Janeiro",12,2014-01-01
2015,"Rondonia","Janeiro",30,2015-01-01
2016,"Rondonia","Janeiro",93,2016-01-01
2017,"Rondonia","Janeiro",44,2017-01-01
1998,"Rondonia","Fevereiro",0,1998-01-01
1999,"Rondonia","Fevereiro",1,1999-01-01
2000,"Rondonia","Fevereiro",6,2000-01-01
2001,"Rondonia","Fevereiro",2,2001-01-01
2002,"Rondonia","Fevereiro",8,2002-01-01
2003,"Rondonia","Fevereiro",10,2003-01-01
2004,"Rondonia","Fevereiro",12,2004-01-01
2005,"Rondonia","Fevereiro",42,2005-01-01
2006,"Rondonia","Fevereiro",17,2006-01-01
2007,"Rondonia","Fevereiro",8,2007-01-01
2008,"Rondonia","Fevereiro",7,2008-01-01
2009,"Rondonia","Fevereiro",1,2009-01-01
2010,"Rondonia","Fevereiro",9,2010-01-01
2011,"Rondonia","Fevereiro",2,2011-01-01
2012,"Rondonia","Fevereiro",9,2012-01-01
2013,"Rondonia","Fevereiro",8,2013-01-01
2014,"Rondonia","Fevereiro",5,2014-01-01
2015,"Rondonia","Fevereiro",22,2015-01-01
2016,"Rondonia","Fevereiro",88,2016-01-01
2017,"Rondonia","Fevereiro",10,2017-01-01
1998,"Rondonia","Março",0,1998-01-01
1999,"Rondonia","Março",8,1999-01-01
2000,"Rondonia","Março",9,2000-01-01
2001,"Rondonia","Março",0,2001-01-01
2002,"Rondonia","Março",1,2002-01-01
2003,"Rondonia","Março",13,2003-01-01
2004,"Rondonia","Março",20,2004-01-01
2005,"Rondonia","Março",17,2005-01-01
2006,"Rondonia","Março",15,2006-01-01
2007,"Rondonia","Março",20,2007-01-01
2008,"Rondonia","Março",2,2008-01-01
2009,"Rondonia","Março",12,2009-01-01
2010,"Rondonia","Março",11,2010-01-01
2011,"Rondonia","Março",6,2011-01-01
2012,"Rondonia","Março",6,2012-01-01
2013,"Rondonia","Março",23,2013-01-01
2014,"Rondonia","Março",13,2014-01-01
2015,"Rondonia","Março",15,2015-01-01
2016,"Rondonia","Março",25,2016-01-01
2017,"Rondonia","Março",21,2017-01-01
1998,"Rondonia","Abril",0,1998-01-01
1999,"Rondonia","Abril",3,1999-01-01
2000,"Rondonia","Abril",0,2000-01-01
2001,"Rondonia","Abril",0,2001-01-01
2002,"Rondonia","Abril",3,2002-01-01
2003,"Rondonia","Abril",10,2003-01-01
2004,"Rondonia","Abril",14,2004-01-01
2005,"Rondonia","Abril",7,2005-01-01
2006,"Rondonia","Abril",0,2006-01-01
2007,"Rondonia","Abril",0,2007-01-01
2008,"Rondonia","Abril",8,2008-01-01
2009,"Rondonia","Abril",3,2009-01-01
2010,"Rondonia","Abril",19,2010-01-01
2011,"Rondonia","Abril",8,2011-01-01
2012,"Rondonia","Abril",12,2012-01-01
2013,"Rondonia","Abril",9,2013-01-01
2014,"Rondonia","Abril",15,2014-01-01
2015,"Rondonia","Abril",15,2015-01-01
2016,"Rondonia","Abril",59,2016-01-01
2017,"Rondonia","Abril",19,2017-01-01
1998,"Rondonia","Maio",0,1998-01-01
1999,"Rondonia","Maio",3,1999-01-01
2000,"Rondonia","Maio",13,2000-01-01
2001,"Rondonia","Maio",5,2001-01-01
2002,"Rondonia","Maio",10,2002-01-01
2003,"Rondonia","Maio",21,2003-01-01
2004,"Rondonia","Maio",9,2004-01-01
2005,"Rondonia","Maio",38,2005-01-01
2006,"Rondonia","Maio",7,2006-01-01
2007,"Rondonia","Maio",4,2007-01-01
2008,"Rondonia","Maio",1,2008-01-01
2009,"Rondonia","Maio",6,2009-01-01
2010,"Rondonia","Maio",41,2010-01-01
2011,"Rondonia","Maio",54,2011-01-01
2012,"Rondonia","Maio",22,2012-01-01
2013,"Rondonia","Maio",9,2013-01-01
2014,"Rondonia","Maio",28,2014-01-01
2015,"Rondonia","Maio",13,2015-01-01
2016,"Rondonia","Maio",44,2016-01-01
2017,"Rondonia","Maio",31,2017-01-01
1998,"Rondonia","Junho",26,1998-01-01
1999,"Rondonia","Junho",10,1999-01-01
2000,"Rondonia","Junho",54,2000-01-01
2001,"Rondonia","Junho",31,2001-01-01
2002,"Rondonia","Junho",141,2002-01-01
2003,"Rondonia","Junho",74,2003-01-01
2004,"Rondonia","Junho",151,2004-01-01
2005,"Rondonia","Junho",153,2005-01-01
2006,"Rondonia","Junho",40,2006-01-01
2007,"Rondonia","Junho",71,2007-01-01
2008,"Rondonia","Junho",11,2008-01-01
2009,"Rondonia","Junho",13,2009-01-01
2010,"Rondonia","Junho",44,2010-01-01
2011,"Rondonia","Junho",130,2011-01-01
2012,"Rondonia","Junho",32,2012-01-01
2013,"Rondonia","Junho",22,2013-01-01
2014,"Rondonia","Junho",92,2014-01-01
2015,"Rondonia","Junho",119,2015-01-01
2016,"Rondonia","Junho",170,2016-01-01
2017,"Rondonia","Junho",192,2017-01-01
1998,"Rondonia","Julho",365,1998-01-01
1999,"Rondonia","Julho",135,1999-01-01
2000,"Rondonia","Julho",117,2000-01-01
2001,"Rondonia","Julho",74,2001-01-01
2002,"Rondonia","Julho",539,2002-01-01
2003,"Rondonia","Julho",516,2003-01-01
2004,"Rondonia","Julho",1.233,2004-01-01
2005,"Rondonia","Julho",798,2005-01-01
2006,"Rondonia","Julho",314,2006-01-01
2007,"Rondonia","Julho",187,2007-01-01
2008,"Rondonia","Julho",138,2008-01-01
2009,"Rondonia","Julho",110,2009-01-01
2010,"Rondonia","Julho",747,2010-01-01
2011,"Rondonia","Julho",293,2011-01-01
2012,"Rondonia","Julho",205,2012-01-01
2013,"Rondonia","Julho",117,2013-01-01
2014,"Rondonia","Julho",192,2014-01-01
2015,"Rondonia","Julho",423,2015-01-01
2016,"Rondonia","Julho",969,2016-01-01
2017,"Rondonia","Julho",1.28,2017-01-01
1998,"Rondonia","Agosto",2.254,1998-01-01
1999,"Rondonia","Agosto",1.976,1999-01-01
2000,"Rondonia","Agosto",2.197,2000-01-01
2001,"Rondonia","Agosto",2.132,2001-01-01
2002,"Rondonia","Agosto",3.465,2002-01-01
2003,"Rondonia","Agosto",7.06,2003-01-01
2004,"Rondonia","Agosto",6.893,2004-01-01
2005,"Rondonia","Agosto",6.672,2005-01-01
2006,"Rondonia","Agosto",3.124,2006-01-01
2007,"Rondonia","Agosto",4.786,2007-01-01
2008,"Rondonia","Agosto",1.251,2008-01-01
2009,"Rondonia","Agosto",484,2009-01-01
2010,"Rondonia","Agosto",4.388,2010-01-01
2011,"Rondonia","Agosto",1.161,2011-01-01
2012,"Rondonia","Agosto",2.209,2012-01-01
2013,"Rondonia","Agosto",885,2013-01-01
2014,"Rondonia","Agosto",3.038,2014-01-01
2015,"Rondonia","Agosto",3.762,2015-01-01
2016,"Rondonia","Agosto",3.675,2016-01-01
2017,"Rondonia","Agosto",4.287,2017-01-01
1998,"Rondonia","Setembro",3.753,1998-01-01
1999,"Rondonia","Setembro",3.062,1999-01-01
2000,"Rondonia","Setembro",2.438,2000-01-01
2001,"Rondonia","Setembro",1.927,2001-01-01
2002,"Rondonia","Setembro",7.067,2002-01-01
2003,"Rondonia","Setembro",6.89,2003-01-01
2004,"Rondonia","Setembro",13.05,2004-01-01
2005,"Rondonia","Setembro",13.972,2005-01-01
2006,"Rondonia","Setembro",9.92,2006-01-01
2007,"Rondonia","Setembro",6.832,2007-01-01
2008,"Rondonia","Setembro",3.726,2008-01-01
2009,"Rondonia","Setembro",1.869,2009-01-01
2010,"Rondonia","Setembro",4.893,2010-01-01
2011,"Rondonia","Setembro",1.782,2011-01-01
2012,"Rondonia","Setembro",2.471,2012-01-01
2013,"Rondonia","Setembro",1.776,2013-01-01
2014,"Rondonia","Setembro",2.8,2014-01-01
2015,"Rondonia","Setembro",6.129,2015-01-01
2016,"Rondonia","Setembro",4.208,2016-01-01
2017,"Rondonia","Setembro",5.638,2017-01-01
1998,"Rondonia","Outubro",483,1998-01-01
1999,"Rondonia","Outubro",1.884,1999-01-01
2000,"Rondonia","Outubro",644,2000-01-01
2001,"Rondonia","Outubro",796,2001-01-01
2002,"Rondonia","Outubro",3.554,2002-01-01
2003,"Rondonia","Outubro",4.962,2003-01-01
2004,"Rondonia","Outubro",3.094,2004-01-01
2005,"Rondonia","Outubro",2.559,2005-01-01
2006,"Rondonia","Outubro",1.148,2006-01-01
2007,"Rondonia","Outubro",2.023,2007-01-01
2008,"Rondonia","Outubro",1.482,2008-01-01
2009,"Rondonia","Outubro",1.444,2009-01-01
2010,"Rondonia","Outubro",1.307,2010-01-01
2011,"Rondonia","Outubro",822,2011-01-01
2012,"Rondonia","Outubro",1.229,2012-01-01
2013,"Rondonia","Outubro",555,2013-01-01
2014,"Rondonia","Outubro",1.063,2014-01-01
2015,"Rondonia","Outubro",2.598,2015-01-01
2016,"Rondonia","Outubro",1.844,2016-01-01
2017,"Rondonia","Outubro",2.19,2017-01-01
1998,"Rondonia","Novembro",3,1998-01-01
1999,"Rondonia","Novembro",41,1999-01-01
2000,"Rondonia","Novembro",13,2000-01-01
2001,"Rondonia","Novembro",91,2001-01-01
2002,"Rondonia","Novembro",639,2002-01-01
2003,"Rondonia","Novembro",526,2003-01-01
2004,"Rondonia","Novembro",452,2004-01-01
2005,"Rondonia","Novembro",465,2005-01-01
2006,"Rondonia","Novembro",253,2006-01-01
2007,"Rondonia","Novembro",53,2007-01-01
2008,"Rondonia","Novembro",78,2008-01-01
2009,"Rondonia","Novembro",128,2009-01-01
2010,"Rondonia","Novembro",238,2010-01-01
2011,"Rondonia","Novembro",245,2011-01-01
2012,"Rondonia","Novembro",174,2012-01-01
2013,"Rondonia","Novembro",108,2013-01-01
2014,"Rondonia","Novembro",202,2014-01-01
2015,"Rondonia","Novembro",1.002,2015-01-01
2016,"Rondonia","Novembro",401,2016-01-01
2017,"Rondonia","Novembro",372,2017-01-01
1998,"Rondonia","Dezembro",33,1998-01-01
1999,"Rondonia","Dezembro",0,1999-01-01
2000,"Rondonia","Dezembro",7,2000-01-01
2001,"Rondonia","Dezembro",1,2001-01-01
2002,"Rondonia","Dezembro",91,2002-01-01
2003,"Rondonia","Dezembro",214,2003-01-01
2004,"Rondonia","Dezembro",208,2004-01-01
2005,"Rondonia","Dezembro",36,2005-01-01
2006,"Rondonia","Dezembro",4,2006-01-01
2007,"Rondonia","Dezembro",6,2007-01-01
2008,"Rondonia","Dezembro",2,2008-01-01
2009,"Rondonia","Dezembro",9,2009-01-01
2010,"Rondonia","Dezembro",158,2010-01-01
2011,"Rondonia","Dezembro",37,2011-01-01
2012,"Rondonia","Dezembro",50,2012-01-01
2013,"Rondonia","Dezembro",143,2013-01-01
2014,"Rondonia","Dezembro",144,2014-01-01
2015,"Rondonia","Dezembro",282,2015-01-01
2016,"Rondonia","Dezembro",148,2016-01-01
1998,"Roraima","Janeiro",0,1998-01-01
1999,"Roraima","Janeiro",15,1999-01-01
2000,"Roraima","Janeiro",18,2000-01-01
2001,"Roraima","Janeiro",101,2001-01-01
2002,"Roraima","Janeiro",302,2002-01-01
2003,"Roraima","Janeiro",547,2003-01-01
2004,"Roraima","Janeiro",355,2004-01-01
2005,"Roraima","Janeiro",106,2005-01-01
2006,"Roraima","Janeiro",70,2006-01-01
2007,"Roraima","Janeiro",194,2007-01-01
2008,"Roraima","Janeiro",245,2008-01-01
2009,"Roraima","Janeiro",45,2009-01-01
2010,"Roraima","Janeiro",351,2010-01-01
2011,"Roraima","Janeiro",225,2011-01-01
2012,"Roraima","Janeiro",217,2012-01-01
2013,"Roraima","Janeiro",397,2013-01-01
2014,"Roraima","Janeiro",355,2014-01-01
2015,"Roraima","Janeiro",330,2015-01-01
2016,"Roraima","Janeiro",1.754,2016-01-01
2017,"Roraima","Janeiro",108,2017-01-01
1998,"Roraima","Fevereiro",0,1998-01-01
1999,"Roraima","Fevereiro",20,1999-01-01
2000,"Roraima","Fevereiro",57,2000-01-01
2001,"Roraima","Fevereiro",646,2001-01-01
2002,"Roraima","Fevereiro",476,2002-01-01
2003,"Roraima","Fevereiro",767,2003-01-01
2004,"Roraima","Fevereiro",259,2004-01-01
2005,"Roraima","Fevereiro",105,2005-01-01
2006,"Roraima","Fevereiro",283,2006-01-01
2007,"Roraima","Fevereiro",796,2007-01-01
2008,"Roraima","Fevereiro",138,2008-01-01
2009,"Roraima","Fevereiro",153,2009-01-01
2010,"Roraima","Fevereiro",470,2010-01-01
2011,"Roraima","Fevereiro",112,2011-01-01
2012,"Roraima","Fevereiro",130,2012-01-01
2013,"Roraima","Fevereiro",62,2013-01-01
2014,"Roraima","Fevereiro",226,2014-01-01
2015,"Roraima","Fevereiro",418,2015-01-01
2016,"Roraima","Fevereiro",171,2016-01-01
2017,"Roraima","Fevereiro",129,2017-01-01
1998,"Roraima","Março",0,1998-01-01
1999,"Roraima","Março",98,1999-01-01
2000,"Roraima","Março",125,2000-01-01
2001,"Roraima","Março",1.108,2001-01-01
2002,"Roraima","Março",820,2002-01-01
2003,"Roraima","Março",1.131,2003-01-01
2004,"Roraima","Março",276,2004-01-01
2005,"Roraima","Março",244,2005-01-01
2006,"Roraima","Março",385,2006-01-01
2007,"Roraima","Março",665,2007-01-01
2008,"Roraima","Março",422,2008-01-01
2009,"Roraima","Março",176,2009-01-01
2010,"Roraima","Março",417,2010-01-01
2011,"Roraima","Março",91,2011-01-01
2012,"Roraima","Março",99,2012-01-01
